               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.022603,            0.010524,           0.0041631,             0.87248,              0.5368,             0.59088,             0.41627,            0.030287,            0.012539,            0.011072,            0.001981,            0.001981,            0.001981
                  83,            0.022757,            0.011279,           0.0041788,             0.86512,             0.56481,              0.5886,             0.41713,            0.030658,            0.012277,            0.011477,            0.001882,            0.001882,            0.001882
                  84,            0.022122,            0.010991,           0.0036604,             0.93305,             0.53144,             0.59854,             0.42176,             0.02985,            0.012383,            0.011332,            0.001783,            0.001783,            0.001783
                  85,             0.02117,            0.010203,           0.0038745,             0.83429,              0.5464,             0.58463,             0.41471,            0.029916,            0.012537,            0.012434,            0.001684,            0.001684,            0.001684
                  86,            0.022176,            0.010602,           0.0038968,              0.8237,             0.53371,             0.58123,             0.41576,            0.029607,            0.012291,            0.012272,            0.001585,            0.001585,            0.001585
                  87,            0.021061,            0.010183,           0.0034379,             0.86242,             0.53537,             0.60476,             0.43432,            0.029618,            0.012079,            0.011357,            0.001486,            0.001486,            0.001486
                  88,            0.021113,           0.0098578,           0.0032633,             0.88983,             0.51157,              0.5964,              0.4218,            0.030038,            0.012142,            0.011188,            0.001387,            0.001387,            0.001387
                  89,            0.020842,            0.010087,           0.0034433,             0.80906,             0.52589,             0.57988,             0.42737,            0.029995,             0.01205,            0.012322,            0.001288,            0.001288,            0.001288
                  90,            0.021211,            0.010874,           0.0034808,             0.84516,              0.5368,             0.59491,             0.44659,            0.029045,            0.012216,            0.012487,            0.001189,            0.001189,            0.001189
                  91,            0.021497,            0.010311,           0.0032992,             0.84378,             0.53112,             0.57684,             0.41003,            0.030303,            0.012273,            0.012476,             0.00109,             0.00109,             0.00109
                  92,            0.020029,            0.010417,            0.002893,             0.84072,             0.54863,             0.57449,             0.42841,            0.029359,            0.012119,            0.012435,            0.000991,            0.000991,            0.000991
                  93,            0.020673,            0.010516,           0.0031092,             0.83513,             0.54986,             0.59551,              0.4208,            0.029526,            0.012107,            0.012359,            0.000892,            0.000892,            0.000892
                  94,            0.020716,            0.010043,           0.0030641,             0.85136,             0.54419,             0.59663,              0.4245,            0.029265,             0.01226,            0.012381,            0.000793,            0.000793,            0.000793
                  95,            0.020179,           0.0096553,           0.0030873,             0.83357,             0.54721,             0.58573,             0.42971,            0.029334,            0.012261,            0.012966,            0.000694,            0.000694,            0.000694
                  96,            0.020301,            0.010138,            0.003314,             0.81465,              0.5114,             0.55971,             0.41953,            0.029793,            0.012327,            0.012797,            0.000595,            0.000595,            0.000595
                  97,            0.019416,            0.010212,           0.0031158,             0.85582,             0.53185,             0.59284,             0.42964,            0.029381,            0.012469,            0.012369,            0.000496,            0.000496,            0.000496
                  98,            0.019836,             0.01041,           0.0030675,             0.85965,             0.55294,             0.59774,             0.43885,            0.029118,            0.012435,            0.012318,            0.000397,            0.000397,            0.000397
                  99,            0.020189,            0.010061,           0.0030271,             0.85565,             0.53371,               0.597,             0.43383,            0.029098,            0.012336,            0.012468,            0.000298,            0.000298,            0.000298
