               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.019524,           0.0091676,           0.0030933,             0.82861,             0.58452,             0.60617,             0.43257,            0.030464,            0.012744,             0.01102,            0.002179,            0.002179,            0.002179
                  81,            0.019255,           0.0095548,           0.0028678,             0.85004,             0.51575,             0.55904,             0.42727,            0.031408,             0.01337,             0.01148,             0.00208,             0.00208,             0.00208
                  82,            0.019432,           0.0091408,           0.0028906,             0.84632,              0.5549,             0.58529,             0.42307,            0.031034,            0.012948,            0.012125,            0.001981,            0.001981,            0.001981
                  83,            0.019173,           0.0097323,           0.0027125,             0.84192,             0.53669,             0.58552,             0.41925,            0.030466,            0.012614,            0.012158,            0.001882,            0.001882,            0.001882
                  84,            0.019055,           0.0089105,           0.0029902,             0.85365,             0.55294,             0.56289,              0.4206,            0.029604,            0.012585,            0.012281,            0.001783,            0.001783,            0.001783
                  85,             0.01855,           0.0093648,           0.0024737,             0.83238,             0.53989,             0.55775,             0.41205,            0.029694,            0.013132,            0.012526,            0.001684,            0.001684,            0.001684
                  86,            0.018053,           0.0094256,           0.0028657,             0.87246,             0.53063,             0.59786,              0.4295,            0.029928,            0.013567,            0.012158,            0.001585,            0.001585,            0.001585
                  87,            0.018577,           0.0092224,           0.0024757,             0.87613,             0.51758,             0.60803,             0.41966,            0.030358,            0.013591,            0.011559,            0.001486,            0.001486,            0.001486
                  88,            0.018222,            0.009136,            0.003062,             0.92097,              0.5368,             0.61614,              0.4291,            0.030384,            0.013093,            0.011333,            0.001387,            0.001387,            0.001387
                  89,            0.017744,           0.0087917,           0.0028156,             0.87066,             0.57217,              0.6135,             0.42582,            0.030442,            0.013311,            0.011704,            0.001288,            0.001288,            0.001288
                  90,            0.017988,           0.0090616,           0.0029007,             0.79954,             0.59132,             0.58947,             0.42081,             0.02991,            0.013606,            0.012354,            0.001189,            0.001189,            0.001189
                  91,            0.017568,           0.0087016,           0.0025576,             0.81716,             0.55972,             0.57673,             0.42647,            0.030251,            0.013713,            0.012496,             0.00109,             0.00109,             0.00109
                  92,            0.017289,           0.0083872,           0.0026667,             0.86067,             0.51448,              0.5598,             0.42002,            0.030013,            0.013738,            0.013082,            0.000991,            0.000991,            0.000991
                  93,            0.016751,            0.008728,           0.0027264,             0.83283,             0.57272,             0.57684,             0.41605,            0.030701,            0.013612,            0.012968,            0.000892,            0.000892,            0.000892
                  94,            0.017006,           0.0087658,           0.0024578,             0.84854,             0.54739,              0.5868,             0.41632,            0.030397,            0.013607,            0.013149,            0.000793,            0.000793,            0.000793
                  95,            0.016592,            0.008352,           0.0026963,             0.88273,             0.56104,              0.6069,             0.42185,            0.030202,            0.013439,            0.013007,            0.000694,            0.000694,            0.000694
                  96,            0.016285,           0.0081363,           0.0022374,             0.88759,             0.56413,             0.60847,             0.42403,             0.03015,            0.013619,            0.013307,            0.000595,            0.000595,            0.000595
                  97,            0.016569,           0.0088215,           0.0022946,             0.85924,             0.53989,             0.60109,             0.42645,            0.030067,            0.013726,            0.013177,            0.000496,            0.000496,            0.000496
                  98,            0.015916,           0.0082785,            0.002214,             0.88432,             0.56075,               0.616,             0.43753,            0.030086,            0.013505,            0.013061,            0.000397,            0.000397,            0.000397
                  99,            0.016246,            0.008466,           0.0020421,             0.83423,             0.58694,             0.60839,             0.42958,            0.030239,            0.013439,              0.0131,            0.000298,            0.000298,            0.000298
